LPCX,LPCY,LEYEX,LEYEY,LEYEZ,,,true_x,B,iris_x_m,iris_y_m,,,iris_x,iris_y,iris_x_p,iris_y_p
0.33785,0.46112,-0.03461,0.0035,0.55618,,,546.448,-267.0064,856.448,442.0064,,83,549.2804462,-273.0789441,549.2692211,-272.1050799
0.33802,0.46093,-0.03588,0.00452,0.59662,,,546.6656,-266.8696,856.6656,441.8696,,84,548.685398,-271.9693017,549.8857589,-270.0070637
0.3382,0.46098,-0.03588,0.00452,0.59662,,,546.896,-266.9056,856.896,441.9056,,85,549.5606245,-269.4484054,550.6904177,-269.0987413
0.33816,0.46096,-0.03588,0.00452,0.59662,,,550.8448,-266.8912,856.8448,441.8912,,86,550.6087641,-268.4647272,552.3301654,-268.3138713
0.33842,0.46065,-0.03492,0.00454,0.58212,,,551.1776,-266.668,857.1776,441.668,,87,552.6194894,-267.6473463,554.3958239,-267.6391075
0.33856,0.46051,-0.03492,0.00454,0.58212,,,551.3568,-267.5672,857.3568,441.5672,,88,555.0679641,-266.9708071,557.5315391,-269.7928031
0.33868,0.46041,-0.03492,0.00454,0.58212,,,551.5104,-267.4952,857.5104,441.4952,,89,558.7346022,-269.7326684,559.3591454,-270.4105941
0.33903,0.46038,-0.03386,0.00446,0.5666,,,551.9584,-267.4736,857.9584,441.4736,,90,560.6968033,-270.4965586,560.3292956,-271.1983313
0.33917,0.46034,-0.03386,0.00446,0.5666,,,552.1376,-267.4448,858.1376,441.4448,,91,561.5877522,-271.4355343,562.6000103,-272.9135645
0.33919,0.46031,-0.03386,0.00446,0.5666,,,552.1632,-267.4232,858.1632,441.4232,,92,564.0766177,-273.4692964,562.2049384,-271.8215281
0.33963,0.46003,-0.03505,0.00468,0.58864,,,552.7264,-267.2216,858.7264,441.2216,,93,563.2781819,-272.0221509,559.6731003,-270.7235822
0.33976,0.45989,-0.03505,0.00468,0.58864,,,552.8928,-267.1208,858.8928,441.1208,,94,559.9694159,-270.6443516,555.3925958,-269.5874851
0.33984,0.45992,-0.03505,0.00468,0.58864,,,552.9952,-267.1424,858.9952,441.1424,,95,554.702565,-269.2804902,552.7054464,-268.4923742
0.34025,0.45977,-0.03519,0.00472,0.59399,,,553.52,-267.0344,859.52,441.0344,,96,551.5850183,-268.0155331,553.6551851,-269.2633397
0.34045,0.45965,-0.03519,0.00472,0.59399,,,553.776,-266.948,859.776,440.948,,97,552.9808968,-269.0554122,555.9005616,-268.3344786
0.34057,0.45964,-0.03519,0.00472,0.59399,,,553.9296,-266.9408,859.9296,440.9408,,98,555.8554876,-267.9711834,558.0358037,-266.6772254
0.34108,0.45934,-0.03468,0.00477,0.5885,,,554.5824,-266.7248,860.5824,440.7248,,99,558.4606077,-266.0350705,557.8694322,-266.1274794
0.34125,0.45928,-0.03468,0.00477,0.5885,,,554.8,-266.6816,860.8,440.6816,,100,558.1668325,-265.5052395,557.478557,-266.6831039
0.34137,0.45924,-0.03468,0.00477,0.5885,,,554.9536,-266.6528,860.9536,440.6528,,101,557.6276276,-266.3147044,556.9605098,-267.2377022
0.34181,0.45907,-0.03447,0.00481,0.58791,,,555.5168,-266.5304,861.5168,440.5304,,102,556.9658105,-267.0682172,556.1304372,-266.8955919
0.34208,0.4591,-0.03447,0.00481,0.58791,,,555.8624,-266.552,861.8624,440.552,,103,555.9557074,-266.6889046,555.9259517,-266.7575154
0.34214,0.45893,-0.03447,0.00481,0.58791,,,555.9392,-266.4296,861.9392,440.4296,,104,555.7448092,-266.5656144,556.2075808,-267.965893
0.3428,0.45787,-0.03449,0.00492,0.59114,,,556.784,-269.6664,862.784,439.6664,,105,556.1261699,-268.0757647,556.7643559,-269.0485512
0.34291,0.45736,-0.03449,0.00492,0.59114,,,556.9248,-269.2992,862.9248,439.2992,,106,556.8204798,-269.3680673,555.1046827,-270.7071111
0.34305,0.45727,-0.03449,0.00492,0.59114,,,557.104,-269.2344,863.104,439.2344,,107,554.7910367,-271.3152033,553.9726976,-271.1463227
0.34342,0.45694,-0.03275,0.00475,0.56505,,,557.5776,-268.9968,863.5776,438.9968,,108,553.4826921,-271.7180196,552.6410949,-270.6913439
0.34357,0.45687,-0.03275,0.00475,0.56505,,,551.7696,-268.9464,863.7696,438.9464,,109,551.9697175,-271.0417829,552.7182548,-270.4938312
0.34369,0.4569,-0.03275,0.00475,0.56505,,,551.9232,-268.968,863.9232,438.968,,110,552.208194,-270.7261816,554.7736875,-270.0897621
0.34409,0.45686,-0.03252,0.00477,0.5632,,,552.4352,-268.9392,864.4352,438.9392,,111,554.8165139,-270.1849583,553.7781039,-269.6866327
0.34432,0.45675,-0.03252,0.00477,0.5632,,,552.7296,-268.86,864.7296,438.86,,112,553.5971435,-269.6744352,553.3155371,-269.0570939
0.34433,0.45674,-0.03252,0.00477,0.5632,,,552.7424,-268.8528,864.7424,438.8528,,113,553.073888,-268.9118537,553.7225714,-266.6093389
0.34477,0.45659,-0.03356,0.00498,0.5828,,,553.3056,-268.7448,865.3056,438.7448,,114,553.6207194,-265.9678858,553.2338603,-265.769048
0.3449,0.45649,-0.03356,0.00498,0.5828,,,553.472,-270.6728,865.472,438.6728,,115,553.0486367,-265.0847435,552.8605421,-266.9252917
0.34502,0.45654,-0.03356,0.00498,0.5828,,,553.6256,-270.7088,865.6256,438.7088,,116,552.6347824,-266.6376421,551.5481598,-267.9003402
0.34537,0.45648,-0.03396,0.00507,0.59279,,,554.0736,-270.6656,866.0736,438.6656,,117,551.088223,-267.8848136,549.0740076,-269.5402838
0.34557,0.45648,-0.03396,0.00507,0.59279,,,549.3296,-270.6656,866.3296,438.6656,,118,548.179989,-269.881526,547.966155,-270.349195
0.34569,0.45645,-0.03396,0.00507,0.59279,,,549.4832,-270.644,866.4832,438.644,,119,547.0260533,-270.7912242,548.3827558,-270.1741992
0.34603,0.45637,-0.03319,0.00498,0.58247,,,549.9184,-270.5864,866.9184,438.5864,,120,547.7350359,-270.4832539,550.0448422,-270.3701471
0.34613,0.45641,-0.03319,0.00498,0.58247,,,550.0464,-270.6152,867.0464,438.6152,,121,549.8949066,-270.6548263,549.9705217,-270.5055724
0.34623,0.45635,-0.03319,0.00498,0.58247,,,550.1744,-270.572,867.1744,438.572,,122,549.8368818,-270.7580859,548.8611883,-270.9877283
0.3466,0.45626,-0.03391,0.00515,0.59744,,,550.648,-268.5072,867.648,438.5072,,123,548.5172776,-271.2897318,549.8781192,-272.3196944
0.34688,0.45623,-0.03391,0.00515,0.59744,,,551.0064,-268.4856,866.0064,438.4856,,124,549.8274823,-272.8436643,551.66539,-273.9151904
0.34688,0.45623,-0.03391,0.00515,0.59744,,,551.0064,-268.4856,866.0064,438.4856,,125,552.0108388,-274.670084,551.7434953,-273.8261125
0.34721,0.45619,-0.03249,0.00496,0.57539,,,551.4288,-268.4568,866.4288,438.4568,,126,552.0313293,-274.3991225,552.2041217,-273.4838751
0.34736,0.45618,-0.03249,0.00496,0.57539,,,551.6208,-268.4496,866.6208,438.4496,,127,552.529194,-273.8596409,553.1206182,-272.8053305
0.3475,0.45616,-0.03249,0.00496,0.57539,,,551.8,-268.4352,866.8,438.4352,,128,553.5731477,-272.9538829,552.5110215,-271.9499082
0.34824,0.45646,-0.03349,0.00515,0.59703,,,552.7472,-268.6512,867.7472,438.6512,,129,552.7346532,-271.8820949,551.9476358,-271.7289322
0.34945,0.45705,-0.03349,0.00515,0.59703,,,554.296,-265.076,869.296,439.076,,130,552.0016581,-271.6281109,551.5533563,-271.7388866
0.34921,0.4568,-0.03349,0.00515,0.59703,,,553.9888,-264.896,868.9888,438.896,,131,551.5107655,-271.6619385,550.4212201,-271.1311348
0.35591,0.46179,-0.03444,0.00523,0.63434,,,562.5648,-268.4888,867.5648,442.4888,,132,550.1438223,-270.9397937,549.5235873,-270.4798627
0.35723,0.46262,-0.03444,0.00523,0.63434,,,551.2544,-269.0864,869.2544,443.0864,,133,549.1125232,-270.1894023,550.0903466,-271.1822563
0.35713,0.46187,-0.03444,0.00523,0.63434,,,548.1264,-268.5464,869.1264,442.5464,,134,549.8900124,-271.1057649,551.1195766,-272.016138
0.36135,0.46572,-0.03172,0.00466,0.5974,,,553.528,-271.3184,868.528,445.3184,,135,551.1842246,-272.1358403,551.7963249,-272.6224012
0.36188,0.46577,-0.03172,0.00466,0.5974,,,554.2064,-271.3544,869.2064,445.3544,,136,551.9928861,-272.8469619,552.0490787,-273.3697573
0.36201,0.46575,-0.03172,0.00466,0.5974,,,554.3728,-271.34,869.3728,445.34,,137,552.25775,-273.7069851,551.8842727,-274.0058044
0.36284,0.4659,-0.03263,0.00479,0.61992,,,555.4352,-271.448,870.4352,445.448,,138,552.0124562,-274.4074305,551.4577604,-274.1811383
0.36312,0.46567,-0.03263,0.00479,0.61992,,,553.7936,-271.2824,870.7936,445.2824,,139,551.4664019,-274.5339964,551.000802,-274.0565261
0.36335,0.46564,-0.03263,0.00479,0.61992,,,554.088,-271.2608,871.088,445.2608,,140,550.9091025,-274.306485,550.7094538,-273.7708834
0.36414,0.46536,-0.03267,0.0049,0.62782,,,553.0992,-271.0592,872.0992,445.0592,,141,550.5747282,-273.9054152,550.8337608,-273.5468154
0.36469,0.46534,-0.03267,0.0049,0.62782,,,553.8032,-271.0448,872.8032,445.0448,,142,550.7548591,-273.6040657,551.157858,-273.2267446
0.36493,0.4655,-0.03267,0.0049,0.62782,,,554.1104,-271.16,873.1104,445.16,,143,551.1658062,-273.2026788,551.1648298,-272.701054
0.36587,0.46506,-0.03233,0.0049,0.62851,,,555.3136,-270.8432,874.3136,444.8432,,144,551.1725676,-272.5688834,551.6190762,-272.1156718
0.36649,0.46517,-0.03233,0.0049,0.62851,,,554.1072,-270.9224,875.1072,444.9224,,145,551.7230407,-271.8858301,552.2063784,-271.5140914
0.36671,0.46516,-0.03233,0.0049,0.62851,,,554.3888,-270.9152,875.3888,444.9152,,146,552.4145066,-271.2041366,552.5316147,-270.4606303
